from_node,to_node,R_ohm,X_ohm,V_base,tipo,V_pri,V_sec,S,Z_pct,X_R,conexion,length_m
# 632→633 (Config 602, 500ft=152m)
0,1,0.0711,0.1116,4160,linea,,,,,,152
# 633→634 (XFM-1, 4160/480V, 500kVA, R=1.1%, X=2%)
1,2,0,0,4160,transformador,4160,480,500000,2.283,1.818,Yy0,0
# 632→645 (Config 603, 500ft=152m)
0,3,0.1253,0.1277,4160,linea,,,,,,152
# 645→646 (Config 603, 300ft=91m)
3,4,0.0750,0.0765,4160,linea,,,,,,91
# 632→671 (Config 601, 2000ft=610m)
0,5,0.1314,0.3860,4160,linea,,,,,,610
# 671→684 (Config 604, 300ft=91m)
5,6,0.0749,0.0768,4160,linea,,,,,,91
# 684→652 (Config 607, 800ft=244m)
6,7,0.2036,0.0777,4160,linea,,,,,,244
# 684→611 (Config 605, 300ft=91m)
6,8,0.0752,0.0762,4160,linea,,,,,,91
# 671→680 (Config 601, 1000ft=305m)
5,9,0.0657,0.1930,4160,linea,,,,,,305
# 671→692 (switch, Z=0)
5,10,0,0,4160,linea,,,,,,0
# 692→675 (Config 606, 500ft=152m)
10,11,0.0754,0.0422,4160,linea,,,,,,152
